,,imdb_link
159,Jackie Brown,https://www.imdb.com/title/tt0119396/
160,Daisies,https://www.imdb.com/title/tt0060959/
161,Funeral Parade of Roses,https://www.imdb.com/title/tt0064068/
162,The Color of Pomegranates,https://www.imdb.com/title/tt0063555/
163,Latcho Drom,https://www.imdb.com/title/tt0107376/
164,Ten Things I Hate About You,https://www.imdb.com/title/tt0147800/
165,Clueless,https://www.imdb.com/title/tt0112697/
166,Hiroshima Mon Amour,https://www.imdb.com/title/tt0052893/
167,Night and Fog,https://www.imdb.com/title/tt0048434/
168,Mauvais Sang,https://www.imdb.com/title/tt0091497/
169,The Rules of the Game,https://www.imdb.com/title/tt0031885/
170,Wings of Desire,https://www.imdb.com/title/tt0093191/
171,The Battle of Algiers,https://www.imdb.com/title/tt0058946/
172,Bottle Rocket,https://www.imdb.com/title/tt0115734/
173,Quadrophenia,https://www.imdb.com/title/tt0079766/
174,L'Insoumis,https://www.imdb.com/title/tt0058232/
175,Four Adventures of Reinette and Mirabelle,https://www.imdb.com/title/tt0090565/
176,The Nun (La Religieuse),https://www.imdb.com/title/tt0060891/
177,Celine and Julie Go Boating,https://www.imdb.com/title/tt0071381/
178,Out 1,https://www.imdb.com/title/tt0246135/
179,La Belle Noiseuse,https://www.imdb.com/title/tt0101428/
180,L'Amour Fou,https://www.imdb.com/title/tt0062663/
181,Paris Belongs to Us (Paris Nous Appartient),https://www.imdb.com/title/tt0054156/
182,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/
183,Julien Donkey-Boy,https://www.imdb.com/title/tt0192194/
184,The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/
185,Desperately Seeking Susan,https://www.imdb.com/title/tt0089017/
186,Rushmore,https://www.imdb.com/title/tt0128445/
187,The Life Aquatic with Steve Zissou,https://www.imdb.com/title/tt0362270/
188,The Darjeeling Limited,https://www.imdb.com/title/tt0838221/
189,Une Femme Est Une Femme,https://www.imdb.com/title/tt0055572/
190,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/
191,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/
192,The Departed,https://www.imdb.com/title/tt0407887/
193,Bande a Parte,https://www.imdb.com/title/tt0057869/
194,A Married Woman,https://www.imdb.com/title/tt0058701/
195,Pierrot Le Fou,https://www.imdb.com/title/tt0059592/
196,Sois Belle et Tais Toi,https://www.imdb.com/title/tt0052211/
197,Moonrise Kingdom,https://www.imdb.com/title/tt1748122/
198,Trash Humpers,https://www.imdb.com/title/tt1488163/
199,Bluebeard (Chabrol),https://www.imdb.com/title/tt0056165/
200,Kids,https://www.imdb.com/title/tt0113540/
201,Elevator to the Gallows,https://www.imdb.com/title/tt0051378/
202,Masculin Feminin,https://www.imdb.com/title/tt0060675/
203,But I'm a Cheerleader,https://www.imdb.com/title/tt0179116/
204,King Lear,https://www.imdb.com/title/tt0093349/
205,Two or Three Things I Know About Her,https://www.imdb.com/title/tt0060304/
206,Weekend,https://www.imdb.com/title/tt0062480/
207,One Plus One,https://www.imdb.com/title/tt0063665/
208,Punch Drunk Love,https://www.imdb.com/title/tt0272338/
209,Tout Va Bien,https://www.imdb.com/title/tt0069398/
210,British Sounds,https://www.imdb.com/title/tt0065494/
211,Le Petit Soldat,https://www.imdb.com/title/tt0054177/
212,Les Carabiniers,https://www.imdb.com/title/tt0056905/
213,The Decline of Western Civilization,https://www.imdb.com/title/tt0082252/
214,What We Do Is Secret,https://www.imdb.com/title/tt0384683/
215,Made In U.S.A.,https://www.imdb.com/title/tt0060647/
216,Antoine et Colette,https://www.imdb.com/title/tt1180329/
217,Suburbia,https://www.imdb.com/title/tt0086589/
218,SubUrbia,https://www.imdb.com/title/tt0120238/
219,Housebound,https://www.imdb.com/title/tt3504048/
220,Les Cousins,https://www.imdb.com/title/tt0052708/
221,24 Hour Party People,https://www.imdb.com/title/tt0274309/
222,Les Bonnes Femmes,https://www.imdb.com/title/tt0053666/
223,God Help the Girl,https://www.imdb.com/title/tt2141751/
224,Lola,https://www.imdb.com/title/tt0055093/
225,Stolen Kisses,https://www.imdb.com/title/tt0062695/
226,Bed and Board,https://www.imdb.com/title/tt0065651/
227,Arrival,https://www.imdb.com/title/tt2543164/
228,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/
229,Love on the Run,https://www.imdb.com/title/tt0078771/
230,Boyz n the Hood,https://www.imdb.com/title/tt0101507/
231,Boyhood,https://www.imdb.com/title/tt1065073/
232,Shoot the Piano Player,https://www.imdb.com/title/tt0054389/
233,Pontypool,https://www.imdb.com/title/tt1226681/
234,Wittgenstein,https://www.imdb.com/title/tt0108583/
235,Stop Making Sense,https://www.imdb.com/title/tt0088178/
236,Bent,https://www.imdb.com/title/tt0118698/
237,Last Tango in Paris,https://www.imdb.com/title/tt0070849/
238,Being Maria,https://www.imdb.com/title/tt19995770/
239,Madame Bovary,https://www.imdb.com/title/tt0102368/
240,Day For Night,https://www.imdb.com/title/tt0070460/
241,Soapdish,https://www.imdb.com/title/tt0102951/
242,Kika,https://www.imdb.com/title/tt0107315/
243,Zazie dans le Metro,https://www.imdb.com/title/tt0054494/
244,Holy Motors,https://www.imdb.com/title/tt2076220/
245,The Tin Drum,https://www.imdb.com/title/tt0078875/
246,Women on the Verge of a Nervous Breakdown,https://www.imdb.com/title/tt0095675/
247,Tie Me Up Tie Me Down,https://www.imdb.com/title/tt0101026/
248,What Have I Done To Deserve This,https://www.imdb.com/title/tt0088461/
249,"Pepi, Luci, Bom and Other Girls Like Mom",https://www.imdb.com/title/tt0081323/
250,Beware of a Holy Whore,https://www.imdb.com/title/tt0067962/
